No.,業種,詳細業種,業態,営業所名称,営業所郵便番号,営業所所在地,営業所電話番号,許可番号（号）,施行日,有効期限
3613,飲食店営業,その他,スナック,大連,910-0023,福井市順化１丁目１６－１０シャトレー片町４０１号室,,福井市指令生衛第24-4-364号,1/21/25,3/31/30
3614,魚介類販売業,一般,,大和水産,910-0836,福井市大和田１丁目１０１番地福井中央卸売市場鮮魚中卸部内,0776-53-2140,福井市指令生衛第20-2-636号,11/26/20,12/31/25
3615,水産製品製造業,水産製品製造業,,大和水産,910-0804,福井市高木中央２丁目４１１１,0776-53-2140,福井市指令生衛第21-4-495号,11/2/21,12/31/26
3616,食肉販売業,一般,,第２生鮮加工センター　(畜産ＰＣ）,910-0842,福井市開発５丁目１５０５,0776-52-0129,福井市指令生衛第19-1-401号,1/6/20,12/31/26
3617,食肉処理業,一般,,第２生鮮加工センター　(畜産ＰＣ）,910-0842,福井市開発５丁目１５０５,0776-52-0129,福井市指令生衛第19-1-402号,1/6/20,12/31/26
3618,そうざい製造業,一般,,第２生鮮加工センター　(畜産ＰＣ）,910-0842,福井市開発５丁目１５０５,0776-52-0129,福井市指令生衛第19-1-403号,1/6/20,12/31/26
3619,飲食店営業,一般食堂・レストラン等,和食店,滝の家,910-0142,福井市上森田４丁目１３０４,0776-56-2851,福井市指令生衛第21-4-195号,7/20/21,9/30/26
3620,飲食店営業,仕出し屋・弁当屋,高齢者向け配食業,宅食ライフ　福井本店,910-0063,福井市灯明寺２丁目７１１－１Ｐａｙｔｏｎ　Ｐｌａｃｅ１０８,0776-28-5365,福井市指令生衛第24-3-7号,4/23/24,1/31/30
3621,飲食店営業,その他,居酒屋,宅呑み横丁,918-8021,福井市門前１丁目８０１,,福井市指令生衛第23-4-47号,5/17/23,5/31/28
3622,飲食店営業,仕出し屋・弁当屋,お弁当宅配サービス,宅配クック１２３　福井中央・丹南店,918-8116,福井市大町２丁目８０５第三辻正ビル１０４,0776-33-1230,福井市指令生衛第24-4-150号,8/29/24,10/31/29
3623,飲食店,軽食,,蛸八,910-0016,福井市大宮２丁目８―５,0776-24-7763,福井市指令生衛第20-2-766号,1/21/21,2/28/26
3624,飲食店営業,一般食堂・レストラン等,和食店,谷口や,910-0023,福井市順化１丁目１３－３,0776-22-3015,福井市指令生衛第21-3-280号,1/28/22,3/31/27
3625,そうざい製造業,一般,,谷口食品株式会社,910-0006,福井市中央２丁目９－２４,0776-23-7432,福井市指令生衛第19-1-429号,1/28/20,11/30/26
3626,漬物製造業,漬物製造業,,谷口忠商店,918-8061,福井市金屋町４－１６－１,0776-37-0170,福井市指令生衛第22-4-47号,5/31/22,5/31/27
3627,飲食店,食堂,,樽海,910-3554,福井市浜北山町１－２,0776-89-2311,福井市指令生衛第19-1-287号,10/28/19,7/31/25
3628,魚介類販売業,一般,,樽海,910-3554,福井市浜北山町１－２,0776-89-2311,福井市指令生衛第19-1-288号,10/28/19,7/31/25
3629,そうざい製造業,一般,,樽海,910-3554,福井市浜北山町１－２,0776-89-2311,福井市指令生衛第19-1-313号,10/28/19,7/31/25
3630,水産製品製造業,水産製品製造業,,樽海,910-3554,福井市浜北山町１－２,0776-89-2311,福井市指令生衛第23-4-134号,7/27/23,7/31/28
3631,飲食店営業,一般食堂・レストラン等,料亭,丹巌洞,918-8057,福井市加茂河原１丁目５－１２,0776-36-2668,福井市指令生衛第21-4-47号,6/1/21,5/31/27
3632,菓子製造業,菓子製造業,,丹生膳野菜,910-3622,福井市風巻町２７－２,0776-98-3577,福井市指令生衛第23-3-454号,3/26/24,6/30/30
3633,水産製品製造業,水産製品製造業,,丹生膳野菜,910-3622,福井市風巻町２７－２,0776-98-3577,福井市指令生衛第24-3-260号,10/7/24,6/30/31
3634,そうざい製造業,そうざい製造業,,丹生膳野菜,910-3622,福井市風巻町２７－２,0776-98-3577,福井市指令生衛第24-3-261号,10/7/24,6/30/31
3635,飲食店営業,一般食堂・レストラン等,焼肉屋、ホルモン焼き,炭と肉。,910-0006,福井市中央１丁目９－２４福井中央ビル１階、２階,,福井市指令生衛第22-3-132号,8/29/22,11/30/27
3636,そうざい製造業,そうざい製造業,,炭火　くんせい舎,919-0305,福井市徳光町４３－３７－１,,福井市指令生衛第22-3-66号,6/6/22,8/31/27
3637,菓子製造業,菓子製造業,,炭火　くんせい舎,919-0305,福井市徳光町４３－３７－１,,福井市指令生衛第22-3-67号,6/6/22,8/31/27
3638,水産製品製造業,水産製品製造業,,炭火　くんせい舎,919-0305,福井市徳光町４３－３７－１,,福井市指令生衛第22-3-79号,6/6/22,8/31/27
3639,飲食店,食堂,,炭火ステーキキッチン,910-0858,福井市手寄１丁目４―１ＡＯＳＳＡ　３Ｆ,0776-20-2123,福井市指令生衛第20-1-496号,4/2/21,7/31/26
3640,飲食店営業,その他,居酒屋,炭火串焼　こっこ屋,918-8205,福井市北四ツ居２丁目１１１,0776-53-8929,福井市指令生衛第22-4-28号,5/18/22,7/31/27
3641,飲食店営業,その他,焼鶏店,炭火焼鶏　鶏次,910-0006,福井市中央１丁目３－５ＦＵＫＵＭＡＣＨＩ　ＢＬＯＣＫ　１Ｆ　ＭＩＮＩＥ　横丁３,0776-37-3558,福井市指令生衛第23-3-387号,2/26/24,11/30/29
3642,飲食店営業,その他,焼鳥店,炭火焼鳥　おやじのげんこつ,910-0017,福井市文京５丁目１７－１,0776-25-7900,福井市指令生衛第22-4-319号,12/1/22,1/31/28
3643,飲食店営業,一般食堂・レストラン等,焼鳥屋,炭火焼鳥　千のけむり,910-0855,福井市西方２丁目４－６,0776-63-5355,福井市指令生衛第23-4-45号,5/25/23,7/31/28
3644,飲食店営業,一般食堂・レストラン等,焼肉店,炭火焼肉　たろう,910-0017,福井市文京３丁目２４－５城戸ビル１Ｆ,0776-25-5727,福井市指令生衛第22-4-332号,12/8/22,2/29/28
3645,飲食店営業,その他,焼肉店,炭火焼肉　春来,910-0023,福井市順化１丁目１７－１４ふたばビル１Ｆ,0776-24-3433,福井市指令生衛第23-4-416号,12/26/23,3/31/29
3646,飲食店営業,一般食堂・レストラン等,焼肉店,炭火焼肉　大蔵,910-0028,福井市学園１丁目２－１２,0776-29-2299,福井市指令生衛第21-4-570号,12/15/21,2/28/27
3647,飲食店営業,一般食堂・レストラン等,焼肉屋,炭火焼肉ととり,918-8026,福井市渕４丁目２０５ショッピングプラザＦ・Ｙ１０２,0776-33-1029,福井市指令生衛第21-3-2号,6/11/21,5/31/27
3648,飲食店営業,その他,喫茶店,暖,910-0016,福井市大宮６丁目５－１４,0776-30-1885,福井市指令生衛第23-4-383号,12/14/23,1/31/29
3649,飲食店,社交飲食,,暖らん酒場　八や,910-0023,福井市順化２丁目１２－１９プラチナビル１Ｆ,0776-76-2837,福井市指令生衛第19-1-366号,11/29/19,4/30/25
3650,飲食店営業,一般食堂・レストラン等,日本料理店,地魚もてなし滝の川,910-0854,福井市御幸４丁目１２―１,0776-43-0930,福井市指令生衛第21-3-95号,8/30/21,7/31/27
3651,飲食店営業,その他,居酒屋,地元居酒屋　九・九八,918-8027,福井市福１丁目１６０９,0776-65-8300,福井市指令生衛第23-4-520号,3/14/24,5/31/29
3652,飲食店,食堂,,地中海食堂　Ｔｏｎｄｏ,910-0015,福井市二の宮３丁目２７―１二の宮スカイコープ１Ｆ１０１,0776-23-9005,福井市指令生衛第20-2-680号,12/2/20,1/31/26
3653,そうざい製造業,そうざい製造業,,池田町産マーケット　こっぽい屋,918-8015,福井市花堂南２丁目１６－１ショッピングシティー・ベル内１階,0776-35-0051,福井市指令生衛第21-3-93号,9/13/21,10/31/26
3654,菓子製造業,菓子製造業,,池田町産マーケット　こっぽい屋,918-8015,福井市花堂南２丁目１６－１ショッピングシティー・ベル内１階,0776-35-0051,福井市指令生衛第21-3-94号,9/13/21,10/31/26
3655,漬物製造業,漬物製造業,,池田町産マーケット　こっぽい屋,918-8015,福井市花堂南２丁目１６－１ショッピングシティー・ベル内１階,0776-35-0051,福井市指令生衛第24-4-58号,5/17/24,10/31/29
3656,飲食店営業,一般食堂・レストラン等,日本料理,馳走　えん,910-0015,福井市二の宮４丁目２７－１９,0776-63-6607,福井市指令生衛第24-4-284号,12/3/24,1/31/30
3657,飲食店営業,その他,たこ焼屋,築地　銀だこ,918-8015,福井市花堂南２丁目１６－１アルプラザベル２Ｆ,0776-33-6560,福井市指令生衛第21-4-263号,8/17/21,10/31/26
3658,飲食店,軽食,,築地銀だこ　アピタ福井大和田店,910-0836,福井市大和田２丁目1230アピタ福井大和田店１Ｆ,0776-57-2175,福井市指令生衛第20-2-658号,11/26/20,12/31/25
3659,菓子製造業,一般,,築地銀だこ　アピタ福井大和田店,910-0836,福井市大和田２丁目1230アピタ福井大和田店１Ｆ,0776-57-2175,福井市指令生衛第20-2-657号,11/26/20,12/31/25
3660,飲食店営業,その他,菓子店,竹内菓子舗,918-8012,福井市花堂北２丁目１２－３,0776-36-2456,福井市指令生衛第21-3-12号,6/7/21,10/31/26
3661,菓子製造業,菓子製造業,,竹内菓子舗,918-8012,福井市花堂北２丁目１２－３,0776-36-2456,福井市指令生衛第21-4-281号,9/14/21,10/31/26
3662,菓子製造業,和菓子,,竹内菓子舗　文京支店,910-0017,福井市文京３丁目１０－１０,0776-50-2420,福井市指令生衛第23-3-138号,7/31/23,2/28/30
3663,飲食店営業,一般食堂・レストラン等,菓子製造小売業,竹内菓子舗　文京支店,910-0017,福井市文京３丁目１０－１０,0776-50-2420,福井市指令生衛第23-3-139号,7/31/23,2/28/30
3664,アイスクリーム類製造業,アイスクリーム類製造業,,竹内菓子舗　文京支店,910-0017,福井市文京３丁目１０－１０,0776-50-2420,福井市指令生衛第24-3-65号,5/22/24,2/28/31
3665,飲食店営業,仕出し屋・弁当屋,魚屋,竹内魚店,910-3616,福井市真栗町１－４８,0776-98-5026,福井市指令生衛第21-4-60号,6/1/21,6/30/27
3666,魚介類販売業,魚介類販売業,魚屋,竹内魚店,910-3616,福井市真栗町１－４８,0776-98-5026,福井市指令生衛第21-4-61号,6/1/21,6/30/27
3667,飲食店営業,仕出し屋・弁当屋,魚屋,竹澤茶屋　髙屋,910-0107,福井市高屋町２４―１１２,0776-55-0279,福井市指令生衛第21-4-198号,7/14/21,9/30/26
3668,魚介類販売業,魚介類販売業,魚屋,竹澤茶屋　髙屋,910-0107,福井市高屋町２４―１１２,0776-55-0279,福井市指令生衛第21-4-199号,7/14/21,9/30/26
3669,飲食店営業,その他,鮮魚店,茶屋,910-0063,福井市灯明寺４丁目１８１６,0776-22-7308,福井市指令生衛第24-4-240号,11/14/24,1/31/31
3670,魚介類販売業,魚介類販売業,,茶屋,910-0063,福井市灯明寺４丁目１８１６,0776-22-7308,福井市指令生衛第24-4-241号,11/14/24,1/31/31
3671,そうざい製造業,そうざい製造業,,茶屋,910-0063,福井市灯明寺４丁目１８１６,0776-22-7308,福井市指令生衛第24-4-242号,11/14/24,1/31/31
3672,飲食店営業,一般食堂・レストラン等,和食店,茶屋カフェ　あたらしや,910-0006,福井市中央１丁目３－５ＦＵＫＵＭＡＣＨＩ　ＢＬＯＣＫ　１Ｆ　ＭＩＮＩＥ　ＦＨ２２,0776-37-3351,福井市指令生衛第23-3-381号,2/26/24,11/30/29
3673,飲食店,軽食,,茶楽　かぐや,918-8202,福井市大東２丁目１―１３１,,福井市指令生衛第20-2-200号,6/26/20,7/31/25
3674,飲食店営業,その他,喫茶店,茶楽　かぐや,910-0006,福井市中央１丁目８－１福井西武３Ｆ,0776-27-0111,福井市指令生衛第24-4-200号,10/1/24,11/30/29
3675,飲食店営業,その他,カフェ,茶居夢　ＲＩＴＡ,918-8108,福井市春日１丁目７－３,0776-97-5264,福井市指令生衛第22-3-277号,12/19/22,10/31/28
3676,飲食店,軽食,,茶茶,910-0023,福井市順化２丁目２２－５,0776-97-5805,福井市指令生衛第19-1-381号,12/11/19,4/30/25
3677,飲食店営業,その他,喫茶店,茶房　桜坂,918-8076,福井市本堂町８９－６－１１３,0776-37-1508,福井市指令生衛第21-4-763号,3/24/22,5/31/27
3678,飲食店営業,その他,喫茶店,茶房　白南風,918-8046,福井市運動公園１丁目１１１５,,福井市指令生衛第22-4-449号,3/16/23,5/31/28
3679,飲食店,めん類,,中華そば　まるせい,918-8104,福井市板垣２丁目1429,0776-33-3791,福井市指令生衛第20-2-428号,9/17/20,10/31/25
3680,飲食店営業,その他,ラーメン店,中華そば　一力,910-0804,福井市高木中央３丁目３０７,0776-50-6080,福井市指令生衛第23-4-320号,11/28/23,12/31/28
3681,飲食店営業,一般食堂・レストラン等,ラーメン屋,中華そばふく一力森田店,910-0125,福井市石盛２丁目２３０１,0776-56-8515,福井市指令生衛第22-3-414号,4/4/23,9/30/28
3682,そうざい製造業,そうざい製造業,,中華そば一力／とり元,910-0804,福井市高木中央３丁目３０７,0776-50-6080,福井市指令生衛第24-3-241号,10/1/24,12/31/29
3683,飲食店,食堂,,中華居酒屋,918-8067,福井市飯塚町２９－１０１,0776-65-8674,福井市指令生衛第19-1-510号,3/31/20,5/31/25
3684,飲食店営業,一般食堂・レストラン等,中華食堂,中華料理　タイガ,910-0842,福井市開発２丁目７１０野阪ビル１階,0776-52-1139,福井市指令生衛第23-4-261号,10/24/23,12/31/28
3685,飲食店営業,一般食堂・レストラン等,中華料理店,中華料理　甲来,918-8108,福井市春日１丁目４－１１,0776-35-8981,福井市指令生衛第24-4-124号,9/17/24,10/31/30
3686,飲食店営業,一般食堂・レストラン等,中華料理,中華料理　皇龍,918-8067,福井市飯塚町２９－１０１,0776-58-3466,福井市指令生衛第24-3-112号,6/21/24,5/31/30
3687,そうざい製造業,そうざい製造業,,中華料理　皇龍,918-8067,福井市飯塚町２９－１０１,0776-58-3466,福井市指令生衛第24-3-315号,11/13/24,5/31/30
3688,飲食店営業,一般食堂・レストラン等,中華,中華料理　大福,910-0843,福井市西開発１丁目２５０１ヤシマビル,0776-53-0338,福井市指令生衛第21-4-400号,10/13/21,12/31/26
3689,飲食店営業,一般食堂・レストラン等,中華料理,中華料理　福井源,910-0023,福井市順化１丁目１０－３寿々屋第ニビル１Ｆ,0776-27-3435,福井市指令生衛第23-3-461号,3/25/24,3/31/29
3690,飲食店営業,一般食堂・レストラン等,中華料理店,中華料理　龍楽園,910-0016,福井市大宮３丁目２６－１５吉幸ビル１Ｆ,0776-23-8068,福井市指令生衛第21-4-562号,12/9/21,2/28/27
3691,飲食店営業,一般食堂・レストラン等,中華料理店,中国台湾料理　萬福,910-0804,福井市高木中央１丁目３０１１,0776-52-8690,福井市指令生衛第23-4-248号,10/17/23,12/31/28
3692,飲食店営業,一般食堂・レストラン等,中華料理店,中国料理　味山,910-0017,福井市文京６丁目１４－１０,0776-28-5524,福井市指令生衛第21-4-596号,12/9/21,1/31/27
3693,飲食店営業,一般食堂・レストラン等,すし店,中清,910-0006,福井市中央１丁目１７－１８四ツ井ビル１Ｆ,0776-23-8144,福井市指令生衛第21-4-380号,10/7/21,11/30/26
3694,飲食店営業,一般食堂・レストラン等,そば店,中村そば店,910-0844,福井市長本町１２９,0776-76-3023,福井市指令生衛第23-4-249号,10/26/23,12/31/28
3695,飲食店,食堂,,中村屋,918-8007,福井市足羽１丁目８―４３,0776-34-0621,福井市指令生衛第20-2-421号,10/19/20,10/31/25
3696,食肉処理業,食肉処理業,,中村商店,918-8052,福井市明里町１１－３,0776-36-4381,福井市指令生衛第22-4-138号,7/21/22,10/31/27
3697,飲食店営業,その他,居酒屋,中長,910-0146,福井市下森田桜町３－６－１,,福井市指令生衛第23-3-246号,11/9/23,9/30/29
3698,飲食店営業,仕出し屋・弁当屋,仕出し,中店,910-3146,福井市小幡町２－２,0776-85-1006,福井市指令生衛第22-4-114号,6/15/22,7/31/27
3699,魚介類販売業,魚介類販売業,,中島屋,910-0856,福井市勝見３丁目３－１４,0776-22-3166,福井市指令生衛第21-4-82号,6/15/21,7/31/27
3700,飲食店営業,一般食堂・レストラン等,仕出し弁当、和食店,中島屋,910-0856,福井市勝見３丁目３－１４,0776-22-3166,福井市指令生衛第22-4-15号,5/12/22,7/31/27
3701,そうざい製造業,そうざい製造業,,中部フーズ　久喜津店,918-8047,福井市久喜津町５５－１バロー久喜津店内,0776-33-6166,福井市指令生衛第23-3-420号,3/14/24,5/31/29
3702,菓子製造業,一般,,中部フーズ株式会社　やしろ店,918-8031,福井市種池２丁目１００１バローやしろ店内,0776-36-5515,福井市指令生衛第20-2-38号,4/23/20,5/31/25
3703,飲食店営業,仕出し屋・弁当屋,弁当販売,中部フーズ株式会社　やしろ店,918-8031,福井市種池２丁目１００１バローやしろ店内,0776-36-5515,福井市指令生衛第23-4-502号,3/21/24,5/31/29
3704,そうざい製造業,そうざい製造業,,中部フーズ株式会社　やしろ店,918-8031,福井市種池２丁目１００１バローやしろ店内,0776-36-5515,福井市指令生衛第23-4-503号,3/21/24,5/31/29
3705,飲食店営業,仕出し屋・弁当屋,スーパー,中部フーズ株式会社　久喜津店,918-8047,福井市久喜津町５５－１バロー久喜津店内,0776-33-6166,福井市指令生衛第21-4-761号,3/16/22,5/31/27
3706,飲食店営業,仕出し屋・弁当屋,スーパー,中部フーズ株式会社　新田塚店,910-0015,福井市二の宮５丁目１８－３２バロー新田塚店内,0776-21-5771,福井市指令生衛第21-4-394号,10/13/21,1/31/28
3707,そうざい製造業,そうざい製造業,,中部フーズ株式会社　新田塚店,910-0015,福井市二の宮５丁目１８－３２バロー新田塚店内,0776-21-5771,福井市指令生衛第24-3-398号,2/28/25,1/31/32
3708,菓子製造業,一般,,中部フーズ株式会社　森田店,910-0157,福井市八重巻東町６－５バロー森田店内,0776-56-2185,福井市指令生衛第20-2-342号,9/15/20,9/30/25
3709,飲食店営業,その他,スーパー,中部フーズ株式会社　森田店,910-0157,福井市八重巻東町６－５バロー森田店内,0776-56-2185,福井市指令生衛第23-4-99号,7/12/23,9/30/29
3710,菓子製造業,一般,,中部フーズ株式会社　福井南店,918-8112,福井市下馬３丁目４１８バロー福井南店内,0776-33-6300,福井市指令生衛第20-2-378号,9/4/20,10/31/25
3711,飲食店営業,仕出し屋・弁当屋,スーパーマーケット,中部フーズ株式会社　福井南店,918-8112,福井市下馬３丁目４１８バロー福井南店内,0776-33-6300,福井市指令生衛第21-4-257号,8/4/21,10/31/26
3712,そうざい製造業,そうざい製造業,,中部フーズ株式会社　福井南店,918-8112,福井市下馬３丁目４１８バロー福井南店内,0776-33-6300,福井市指令生衛第24-3-346号,1/10/25,10/31/30
3713,菓子製造業,一般,,中部フーズ株式会社　米松店,910-0851,福井市米松２丁目２１－１８バロー米松店内,0776-53-3131,福井市指令生衛第20-2-236号,6/26/20,7/31/25
3714,飲食店営業,仕出し屋・弁当屋,スーパー,中部フーズ株式会社　米松店,910-0851,福井市米松２丁目２１－１８バロー米松店内,0776-53-3131,福井市指令生衛第22-4-42号,6/16/22,7/31/27
3715,飲食店営業,仕出し屋・弁当屋,スーパー,中部フーズ株式会社　豊岡店,910-0027,福井市豊岡１丁目１－２５バロー豊岡店内,0776-43-1616,福井市指令生衛第21-4-583号,12/9/21,2/28/27
3716,みそ又はしょうゆ製造業,みそ又はしょうゆ製造業,,猪瀬醤油,910-0834,福井市丸山２丁目１９０２,0776-22-4252,福井市指令生衛第23-4-269号,11/14/23,12/31/28
3717,飲食店営業,一般食堂・レストラン等,そば屋,朝倉の里　利休庵,910-2157,福井市西新町７－１,0776-43-2110,福井市指令生衛第23-4-62号,6/22/23,8/31/28
3718,飲食店,食堂,,朝倉氏遺跡保存協会　朝倉そば亭,910-2153,福井市城戸ノ内町２８―３７,0776-41-2330,福井市指令生衛第20-2-172号,6/26/20,8/31/25
3719,飲食店,軽食,,潮香,910-3402,福井市鮎川町193,0776-88-2468,福井市指令生衛第20-2-125号,7/15/20,7/31/25
3720,食品の冷凍又は冷蔵業,一般,,潮風グループ加工場,910-3403,福井市白浜町１０字岩石４－３,0776-88-2003,福井市指令生衛第20-2-218号,7/15/20,7/31/25
3721,水産製品製造業,水産製品製造業,,潮風グループ加工場,910-3403,福井市白浜町１０字岩石４－３,,福井市指令生衛第23-4-117号,6/19/23,7/31/28
3722,そうざい製造業,そうざい製造業,,潮風グループ加工場,910-3403,福井市白浜町１０字岩石４－３,0776-88-2003,福井市指令生衛第24-4-105号,6/12/24,7/31/29
3723,飲食店営業,仕出し屋・弁当屋,弁当,町子母さんのお店,918-8026,福井市渕２丁目１７１１Ａコープやしろ店内,0776-28-5211,福井市指令生衛第21-4-40号,6/1/21,5/31/27
3724,飲食店営業,仕出し屋・弁当屋,テナント,町子母さんのお店,910-0854,福井市御幸３丁目１２－１Ａコープみゆき店内,0776-28-5211,福井市指令生衛第22-4-36号,5/17/22,7/31/27
3725,飲食店営業,一般食堂・レストラン等,寿司屋,町寿司　いちもんめ,910-0005,福井市大手３丁目１４－５大手３Ｍビル１階,0776-50-0607,福井市指令生衛第23-3-411号,2/22/24,11/30/29
3726,飲食店,食堂,,長宝亭,910-0023,福井市順化２丁目２１―１２,0776-28-0833,福井市指令生衛第20-2-991号,3/25/21,4/30/26
3727,飲食店営業,一般食堂・レストラン等,和食,頂き枡　福井駅前店,910-0859,福井市日之出１丁目１－１７ホテルエコノ　１Ｆ,,福井市指令生衛第24-4-29号,4/30/24,7/31/30
3728,飲食店,そうざい,,鳥八,910-0018,福井市田原２丁目２４-８,0776-28-0240,福井市指令生衛第20-1-30号,4/24/20,2/28/26
3729,飲食店営業,その他,居酒屋,鳥八　松本店,910-0003,福井市松本３丁目４－７,0776-65-7646,福井市指令生衛第22-4-330号,12/13/22,1/31/28
3730,飲食店営業,その他,テイクアウト店,鳥八やきとりインター店,910-2178,福井市栂野町２２－６,0776-41-2477,福井市指令生衛第23-4-50号,6/13/23,7/31/28
3731,そうざい製造業,そうざい製造業,,鳥八商店,910-2178,福井市栂野町２２―６,0776-41-0400,福井市指令生衛第21-4-117号,6/24/21,7/31/27
3732,食肉処理業,食肉処理業,,鳥八商店,910-2178,福井市栂野町２２―６,0776-41-0400,福井市指令生衛第21-4-118号,6/24/21,7/31/27
3733,飲食店営業,その他,居酒屋,椿屋,910-0015,福井市二の宮３丁目２６－１９,0776-43-6015,福井市指令生衛第22-4-238号,10/20/22,1/31/28
3734,飲食店営業,その他,ケータリング,紬食品,910-0004,福井市宝永３丁目１－１福井県国際交流会館３Ｆ・パントリー,,福井市指令生衛第22-4-185号,9/13/22,11/30/27
3735,飲食店営業,仕出し屋・弁当屋,仕出し弁当,紬食品芝寿し福井工場,918-8027,福井市福１丁目２５０２,0776-34-2040,福井市指令生衛第21-4-769号,3/23/22,5/31/28
3736,飲食店営業,その他,和食,釣り人しまちゃん,910-0006,福井市中央１丁目３－５ＦＵＫＵＭＡＣＨＩ　ＢＬＯＣＫ　１Ｆ　ＭＩＮＩＥ　横丁４,,福井市指令生衛第23-3-395号,2/26/24,11/30/29
3737,飲食店,社交飲食,,鶴橋,910-0842,福井市開発２丁目２２４,0776-57-0910,福井市指令生衛第20-2-538号,11/25/20,12/31/25
3738,飲食店,食堂,,鼎’ｓ　ｂｙ　ＪＩＮ　ＤＩＮ　ＲＯＵ,910-0006,福井市中央１丁目８－１西武福井８Ｆ,0776-50-6460,福井市指令生衛第20-1-423号,3/8/21,11/30/26
3739,そうざい製造業,一般,,鉄鍋屋,910-0023,福井市順化２丁目２５－７,0776-28-5323,福井市指令生衛第20-1-102号,6/3/20,4/30/27
3740,食肉販売業,一般,,鉄鍋屋,910-0023,福井市順化２丁目２５－７,0776-28-5323,福井市指令生衛第20-1-103号,6/3/20,4/30/27
3741,飲食店営業,一般食堂・レストラン等,韓国居酒屋,鉄鍋屋,910-0023,福井市順化２丁目２５－７,0776-28-5323,福井市指令生衛第21-4-725号,3/2/22,4/30/27
3742,飲食店営業,その他,鉄板焼,鉄板　たなか,910-0023,福井市順化２丁目１９－１６彦坂ビル１階,,福井市指令生衛第22-3-59号,6/6/22,4/30/28
3743,飲食店,食堂,,鉄板お古乃美　かじゃ,910-0843,福井市西開発４丁目７２０―３・４,0776-53-7999,福井市指令生衛第20-2-627号,11/26/20,12/31/25
3744,飲食店営業,一般食堂・レストラン等,食堂,鉄板ハンバーグ＆ステーキ　ＦＵ,910-0852,福井市松城町１２－７パリオシティ　３Ｆ,0776-25-8884,福井市指令生衛第21-3-297号,3/7/22,7/31/27
3745,飲食店営業,その他,鉄板焼き,鉄板焼き　紡ぐ,910-0005,福井市大手２丁目６－４マルダイビル１Ｆ,0776-97-5598,福井市指令生衛第23-3-230号,10/30/23,11/30/28
3746,飲食店営業,その他,焼肉屋,鉄板焼肉　こうらいえん,910-0023,福井市順化２丁目２１－１８Ｎ号室,,福井市指令生衛第22-3-237号,11/7/22,4/30/28
3747,飲食店営業,その他,焼肉店,鉄板焼肉とジンギスカンぼんた　福井駅前店,910-0005,福井市大手２丁目６－４マルダイビル１Ｆ,0776-50-6840,福井市指令生衛第22-3-93号,7/4/22,11/30/27
3748,飲食店営業,一般食堂・レストラン等,天ぷら屋,天じゅ,910-0804,福井市高木中央１丁目３０４,0776-53-3327,福井市指令生衛第24-4-237号,11/28/24,12/31/29
3749,飲食店営業,その他,海鮮うに屋,天たつ,910-0023,福井市順化２丁目７－１７,0776-22-1679,福井市指令生衛第22-3-75号,6/13/22,4/30/28
3750,飲食店営業,一般食堂・レストラン等,天ぷら専門店,天ぷら　たつみ,910-0018,福井市田原１丁目１２－５,0776-25-1711,福井市指令生衛第24-4-314号,12/5/24,2/28/30
3751,飲食店営業,一般食堂・レストラン等,ラーメン店,天下一品　福井二の宮店,910-0015,福井市二の宮２丁目８－６９,0776-21-7444,福井市指令生衛第22-4-287号,11/10/22,1/31/28
3752,飲食店営業,その他,天ぷら店,天菊,910-0023,福井市順化１丁目１４－４,0776-27-4628,福井市指令生衛第22-4-359号,12/21/22,3/31/28
3753,飲食店,社交飲食,,天久,910-0846,福井市四ツ井１丁目１９―１６,0776-54-1349,福井市指令生衛第20-2-154号,7/16/20,7/31/25
3754,飲食店営業,その他,カラオケ喫茶,天使の羽,918-8184,福井市真木町１３７－１１,0776-58-7071,福井市指令生衛第23-3-301号,1/15/24,10/31/29
3755,飲食店営業,一般食堂・レストラン等,天ぷら専門店,天春,910-0023,福井市順化２丁目８－１２,0776-23-4727,福井市指令生衛第21-4-726号,2/16/22,4/30/27
3756,飲食店営業,その他,ミニカフェ,天然温泉佐野温泉　福の湯,910-3121,福井市佐野町１４－８,0776-83-1929,福井市指令生衛第24-4-53号,5/20/24,7/31/29
3757,飲食店営業,一般食堂・レストラン等,レストラン,天然温泉佐野温泉　福の湯別館,910-3121,福井市佐野町１４－３－１,0776-83-1929,福井市指令生衛第21-4-158号,6/16/21,7/31/26
3758,飲食店,食堂,,天膳　板垣店,918-8105,福井市木田２丁目２１０６,0776-97-9524,福井市指令生衛第20-1-111号,6/19/20,10/31/25
3759,飲食店営業,一般食堂・レストラン等,とんかつ屋,天膳ハピリン店,910-0006,福井市中央１丁目２－１ハピリン１Ｆ（区画Ｎｏ.１０９）,0776-97-8802,福井市指令生衛第22-3-221号,11/18/22,11/30/27
3760,飲食店営業,一般食堂・レストラン等,和食店,天膳幾久店,910-0015,福井市二の宮１丁目１－１０８,0776-37-3961,福井市指令生衛第24-3-370号,2/21/25,1/31/31
3761,飲食店営業,一般食堂・レストラン等,中華そば屋,天龍,918-8186,福井市中野３丁目８１０,,福井市指令生衛第21-4-235号,8/5/21,10/31/26
3762,菓子製造業,菓子製造業,,点,910-0023,福井市順化１丁目１０－８,0776-26-2334,福井市指令生衛第21-4-650号,3/16/22,3/31/27
3763,飲食店営業,その他,レストラン,点,910-0023,福井市順化１丁目１０－８,0776-26-2334,福井市指令生衛第21-4-649号,3/16/22,3/31/27
